name,values,label
nyc_borough,"Manhattan, Bronx, Queens",borough_code
borough_code,"1, 2, 3",borough_code
borough_abbreviation,"MN, BK, SI",borough_code
Boro_Cd,"1, 2, 3",borough_code
Boro_Abbr,"MN, BK, QN",borough_code
Brgh_ID,"4, 5, 1",borough_code
boro_abbr,"BK, MN, QN, BX, SI",borough_code
boro_cd,"3, 1, 4, 2, 5",borough_code
brgh,"Brooklyn, Manhattan, Queens, Bronx, Staten Island",borough_code
nycBorough,"Manhattan, Brooklyn, Queens, Bronx, Staten Island",borough_code
boroughCode,"MN, BK, QN, BX, SI",borough_code
boroughId,"3, 1, 4, 2, 5",borough_code
boroughId,"1, 2, 3, 4, 5",borough_code
Boro_Cd,"1, 4, 3",borough_code
Boro_Abbr,"MN, QN, BK",borough_code
Boro_ID,"Manhattan, Queens, Brooklyn",borough_code
New_York_City_Borough,"Manhattan, Brooklyn, Queens, Bronx",borough_code
Borough_Location_Code,"MN, BK, QN, BX",borough_code
Administrative_Division_Identifier,"1, 2, 3, 4",borough_code
borough_name,"Manhattan, Bronx, Staten Island",borough_code
boro_abbreviation,"MN, BK, QN",borough_code
BORO_ABBR,"BK, MN, QN",borough_code
BORO_CD,"3, 1, 4",borough_code
BORO_ID,"3, 1, 4",borough_code
boro,"MN, BK, BX",borough_code
boro_code,"1, 3, 2",borough_code
brgh_cd,"SI, QN, MN",borough_code
boro_cd,"1, 2, 3, 4, 5",borough_code
boro_abbr,"MN, BK, BX, QN, SI",borough_code
b_code,"Manhattan, Brooklyn, Bronx, Queens, Staten Island",borough_code
BORO_CD,"1, 2, 3, 4",borough_code
BRGH_ABBR,"MN, BX, BK, QN",borough_code
NYC_BOROUGH,"MANHATTAN, BRONX, BROOKLYN, QUEENS",borough_code
yCoord,"40.7128, 40.5835, 40.8448",latitude
locationLat,"40.7831, 40.6782, 40.8795",latitude
geographicLatitude,"40.7580, 40.6413, 40.7061",latitude
drp_lat,"40.765, 40.748, 40.714",latitude
dest_lat,"40.851, 40.692, 40.729",latitude
do_lat,"40.783, 40.577, 40.706",latitude
yCoord,"40.7128, 40.8116, 40.6500",latitude
geoLatitude,"40.7781, 40.6782, 40.8787",latitude
locationLat,"40.7411, 40.5773, 40.9102",latitude
lat,"40.7580, 40.7128, 40.6500, 40.8797, 40.5795",latitude
lat_dd,"40.7831, 40.6782, 40.8075, 40.5539, 40.9110",latitude
gps_lat,"40.7484, 40.7061, 40.6620, 40.8448, 40.4960",latitude
location_latitude,"40.8116, 40.6892, 40.7590",latitude
y_coordinate,"40.5795, 40.7484, 40.8501",latitude
geo_latitude,"40.7128, 40.9100, 40.6413",latitude
Geographic Coordinate Latitude,"40.7128, 40.8075, 40.6782, 40.5795",latitude
Vertical Position On Map,"40.7831, 40.8784, 40.7484, 40.9011",latitude
Location North South Position,"40.7061, 40.7580, 40.6413, 40.4994",latitude
locationLat,"40.7128, 40.6501, 40.8794",latitude
yCoordinate,"40.7831, 40.5795, 40.8506",latitude
geoLatitude,"40.7484, 40.6892, 40.8075",latitude
lat,"40.758, 40.811, 40.678, 40.575, 40.850",latitude
lt,"40.712, 40.748, 40.881, 40.641, 40.783",latitude
latd,"40.706, 40.730, 40.829, 40.501, 40.901",latitude
location_lat,"40.7128, 40.7831, 40.5795",latitude
y_coordinate,"40.8075, 40.6782, 40.8533",latitude
geo_latitude,"40.7484, 40.6413, 40.8821",latitude
Lat,"40.7128, 40.7831, 40.5795",latitude
GPS_Lat,"40.6782, 40.8448, 40.7484",latitude
GEO_LAT,"40.6413, 40.7678, 40.8910",latitude
location_lat,"40.7580, 40.6892, 40.8792",latitude
y_coordinate,"40.5775, 40.7829, 40.9011",latitude
geo_latitude,"40.4999, 40.7484, 40.8296",latitude
fac_lat,"40.515, 40.632, 40.789, 40.811, 40.903",latitude
FCLT,"40.481, 40.576, 40.662, 40.758, 40.844",latitude
f_lat,"40.499, 40.555, 40.721, 40.833, 40.912",latitude
Stn_Lat,"40.7128, 40.8296, 40.6782",latitude
Sta_LAT,"40.7829, 40.5795, 40.8810",latitude
S_LAT,"40.7484, 40.6413, 40.9110",latitude
lon,"-73.985664, -74.044502, -73.872849",longitude
x_coordinate,"-73.965242, -74.013382, -73.778925",longitude
location_longitude,"-73.996895, -74.150201, -73.926269",longitude
do_lon,"-73.985, -73.991, -74.005",longitude
drp_lng,"-73.976, -73.964, -74.012",longitude
dest_lon,"-74.152, -73.988, -73.945",longitude
location_longitude,"-74.0445, -73.9857, -73.8726",longitude
geo_lon,"-73.9654, -73.9969, -74.0135",longitude
x_coordinate,"-73.7781, -73.9712, -74.1502",longitude
Location Longitude,"-74.0112, -73.9876, -73.9458",longitude
Geographic Longitude,"-73.8729, -74.1502, -73.7781",longitude
Coordinate Longitude,"-74.0445, -73.9969, -73.9213",longitude
Lon,"-73.9855, -74.0134, -73.8760, -74.1502, -73.9734",longitude
Lng,"-73.9654, -74.0445, -73.9213, -73.7789, -73.9969",longitude
Long.,"-73.9352, -74.2520, -73.7050, -73.8455, -74.0099",longitude
GeographicLongitude,"-73.9857, -74.0445, -73.8317, -73.9626, -74.0060",longitude
HorizontalCoordinateValue,"-73.9442, -73.8726, -73.7781, -73.9935, -74.0135",longitude
LocationEastWestPosition,"-74.0740, -73.9205, -73.8654, -73.7890, -73.9712",longitude
location_longitude,"-74.013, -73.985, -73.782",longitude
geo_longitude,"-73.962, -74.151, -73.870",longitude
longitude_coordinate,"-73.994, -74.045, -73.921",longitude
Geographic Longitude,"-74.0445, -73.906, -73.7822",longitude
Location Longitude,"-73.8453, -74.128, -73.987",longitude
East-West Coordinate,"-73.999, -74.251, -73.701",longitude
locationLongitude,"-74.0060, -74.2154, -73.8545",longitude
lon,"-73.9857, -73.9442, -73.8718",longitude
