name,values,label
full_nm,"Alice Johnson, Kenji Sato, Fatima Al-Fassi",non_spatial
person_nm,"Omar Singh, Chloe Dubois, Liam O'Sullivan",non_spatial
contact_nm,"Sofia Petrova, Ben Carter, Ananya Rao",non_spatial
userAge,"28, 45, 18, 52, 33",non_spatial
ageInYears,"61, 22, 39, 48, 29",non_spatial
participantAge,"31, 55, 24, 70, 41",non_spatial
creationDate,"2023-10-25, 2024-02-19, 2024-04-01",non_spatial
effectiveDate,"2024-01-01, 2023-11-15, 2024-05-30",non_spatial
transactionDate,"2023-12-18, 2024-03-05, 2024-01-29",non_spatial
product_type,"Home Goods, Automotive, Jewelry",non_spatial
item_grouping,"Media, Apparel, Furniture",non_spatial
classification,"Industrial, Medical, Educational",non_spatial
itemCount,"2, 8, 75",non_spatial
numberOfUnits,"4, 12, 150",non_spatial
totalAmount,"6, 30, 200",non_spatial
uri,"https://api.service.net/v1, http://docs.webapp.com/guides, https://portal.company.org/login",non_spatial
web_addr,"https://my-app.dev/dashboard, http://status.provider.io, https://shop.online.store/products",non_spatial
src_loc,"https://github.com/user/repo, http://cdn.assets.net/images/logo.png, https://media.archive.com/file.pdf",non_spatial
completionRate,"15%, 45.5%, 80%, 99%, 100%",non_spatial
shareRatio,"0.1, 0.33, 0.65, 0.98, 1.0",non_spatial
proportionValue,"12.5, 30, 55, 78.2, 85",non_spatial
AdministrativeDivisionName,"Islington, 75004, Shibuya",borough_code
MunicipalDistrictCode,"03, F South, Ward 18",borough_code
UrbanAreaWard,"Jongno-gu, Iztapalapa, City of Canterbury-Bankstown",borough_code
Administrative_District_Identifier,"LAM, 75116, Chiyoda-ku",borough_code
Municipal_Subdivision_Code,"CAM, Inner West, 75101",borough_code
Geographic_Ward_Designation,"Shibuya-ku, WES, Parramatta",borough_code
BRGH_ACR,"HCK, P05, SBY, BRX",borough_code
DIST_CODE,"BE-PA, RM-RI, MPO-GU, SYD-RND",borough_code
WARD_ID,"TO-EY, CHI42, MAD01, CAM",borough_code
Brgh_Cd,"HGY, 75005, 13104",borough_code
Dst_ID,"17200, R.II, 21",borough_code
Ward_Acr,"KEC, FRI-KRE, 33",borough_code
brgh_cd,"LBH, CHIY, PAR_01, SYD_CC, MIT",borough_code
dist_id,"R_I, TOR_04, KEC, SHIB, PAR_18",borough_code
ward_ref,"FK, N_SYD, SHIN, WST, PAR_07",borough_code
district_code,"Shibuya, Westminster, 75005",borough_code
administrative_area,"Mitte, North Sydney, I",borough_code
ward_identifier,"Jongno-gu, Centro, Don Valley East",borough_code
Boro_Cd,"HACK, PAR_01, SHIBUYA, BER_M",borough_code
Dist_ID,"WST, CHI_42, ROM_I, SYD_CBD",borough_code
Ward_Acr,"ISL, PAR_05, Taito-ku, TOR_13",borough_code
districtCode,"75001, SHINJUKU, PANKOW",borough_code
municipalArea,"WESTMINSTER, SALAMANCA, JONGNO-GU",borough_code
wardIdentifier,"WARD_01, K-EAST, KITA-KU",borough_code
district_code,"ISLINGTON, PANKOW, SHINJUKU",borough_code
ward_identifier,"75004, WARD_10, K_EAST",borough_code
local_area_code,"NORTH_SYDNEY, RM_I, COYOACAN",borough_code
district_code,"KENSINGTON_CHELSEA, 75011, SHINJUKU",borough_code
administrative_division,"LAMBETH, MITTE, 08",borough_code
city_ward_id,"WARD_5, CBD_C, R_III",borough_code
City_Administrative_Division,"CAM, 75004, SHIBUYA",borough_code
Municipal_District_Code,"MIT, NORTH_SYDNEY, WARD_10",borough_code
Local_Governing_Area_Identifier,"RM_I, 01, GANGNAM-GU",borough_code
LAT,"52.520008, -12.046374, 6.524379",latitude
GEO_LAT,"37.566535, -37.8136, 48.856613",latitude
LOC_LAT,"19.4326, -4.441931, 13.756331",latitude
do_lat,"48.8566, 35.6895, -23.5505",latitude
drp_lt,"-33.9248, -33.8688, 41.9028",latitude
dest_lat,"49.2827, 19.0760, -1.2921",latitude
lat,"41.90278, 35.689487, -23.55052, -33.924869, -33.86882",latitude
lat_dd,"52.52001, 39.904211, 49.282729, -1.292066, -41.28646",latitude
y_coord,"55.755826, 37.566535, -34.603684, 30.04442, -31.950527",latitude
geo_latitude,"60.16952, -33.44889, -31.953512",latitude
y_coordinate,"9.02498, 39.904211, 52.520008",latitude
point_lat,"-34.603722, -6.208763, -33.924869",latitude
Lat,"41.902784, -1.292066, -33.868820",latitude
LAT,"39.904211, -34.603684, 60.169856",latitude
YCoord,"45.501690, -33.924869, 1.352083",latitude
Lat,"60.16954, 35.689487, -1.292066, -34.603722",latitude
LATD,"-33.86882, 59.913869, 39.904211, 49.28273",latitude
LTTD,"-33.924869, 52.520008, -36.848461, -12.046374",latitude
Lat,"41.9036, 13.75631, -23.55052",latitude
Lat_val,"-33.92487, -33.868820, 60.16952",latitude
Lat_deg,"61.21806, 37.566535, 6.524379",latitude
location_latitude,"41.902784, -1.292066, 35.689487",latitude
y_coordinate,"-34.6037, -33.8688, 52.5200",latitude
lat_decimal,"-33.924869, 39.9042, 49.282729",latitude
locationLat,"41.9028, -33.4489, -1.2921, 10.8231",latitude
geoLatitude,"-33.8651, 59.3293, 19.4326, 39.9042",latitude
pointLatitude,"-41.2866, 30.0444, 49.2827, 55.7558",latitude
Geographic Coordinate Latitude,"48.856613, -1.292066, 49.282730",latitude
Vertical Location Coordinate,"35.689487, -33.868820, -34.603722",latitude
Point Of Interest Latitude,"41.902782, -33.924870, 19.076090",latitude
locationLat,"48.8566, 35.6895, -33.9258",latitude
geoLatitude,"-23.5505, -33.865, 52.5200",latitude
pointLatitude,"39.9042, 6.5244, -34.6037",latitude
f_lat,"48.856613, -33.924870, 41.878114",latitude
facLAT,"35.689499, -33.868820, -22.906847",latitude
fac_lt,"59.913869, 28.613939, 30.044420",latitude
Geographic Latitude Coordinate,"48.856613, 35.689487, -33.92485",latitude
Location North-South Position,"19.432608, -34.603722, -33.86882",latitude
Observation Site Latitude,"59.913868, 28.613939, -1.292066",latitude
lon,"139.691706, -99.133209, 166.66823",longitude
long,"31.23571, -58.381559, 151.20929",longitude
lng,"2.352222, -123.12074, 18.424055",longitude
Destination Longitude Coordinate,"31.23571, 139.69171, 12.49636, -99.1332, -58.38159",longitude
Final Dropoff Point Longitude,"151.20929, 166.6682, 18.42405, 72.87765, -123.1207",longitude
Arrival Location Longitude,"-43.1729, 2.35222, 36.82194, 116.40739, -74.00597",longitude
locationLongitude,"139.7562, 31.24971, 166.6765",longitude
lonCoord,"-99.13689, -46.638818, 13.41053",longitude
horizontalPosition,"151.20732, -179.9985, -0.127815",longitude
lon,"139.691706, -99.133209, 2.352222, 31.235712",longitude
long,"-58.381592, 151.20929, 166.668228, 72.877655",longitude
lng,"37.617298, -123.120735, 18.424055, -77.042793",longitude
longitudeCoord,"-74.00601, 139.839478, 28.047304, -70.669265",longitude
lonValue,"151.209295, 2.352222, 166.66823, -99.133208",longitude
horizontalPosition,"77.209001, -46.633309, 12.496365, 31.235712",longitude
GeographicLongitude,"31.235712, 139.691706, -99.133208, 166.6682",longitude
LocationLongitudeCoordinate,"13.404954, -43.172901, 151.209295, -123.1207",longitude
PointLongitudeValue,"72.877656, 18.424055, -58.381593, 37.6173",longitude
GeographicCoordinateLongitude,"12.496366, 18.424055, -99.133209",longitude
HorizontalPositionLongitude,"72.877655, -70.669266, 174.776230",longitude
LocationMeridianValue,"106.8666, 37.6173, -123.120735",longitude
location_longitude,"31.2428, -58.3816, 139.6917",longitude
lon_dd,"-99.1332, 151.2093, 12.4964",longitude
geo_longitude,"166.6695, 72.8777, -122.4194",longitude
LNG,"-74.00601, 2.35222, 139.69171, -46.63331, 151.20929",longitude
LON,"18.42405, -99.13321, 116.40739, 12.49636, 166.6682",longitude
LongDD,"-58.38156, 37.61730, -118.24368, 72.87765, -0.076132",longitude
locationLon,"2.352222, -77.042793, 116.407395",longitude
pointLongitude,"-74.005974, 3.379206, 144.963056",longitude
geoLongitude,"131.885498, -26.6577, -70.669265",longitude
longitudeCoord,"12.496366, -77.04279, 174.7762",longitude
lonValue,"18.4241, 116.4074, -118.24368",longitude
eastWestPosition,"106.8667, 55.27078, -123.12073",longitude
fcy_lon,"-79.383184, 121.473701, 3.379206",longitude
fac_lng,"-77.042793, 144.963058, 13.404954",longitude
long_coord,"-70.669265, 36.821946, 116.407394",longitude
StnLon,"-123.1207, 3.379206, 116.407394",longitude
Sta_Long,"-58.381557, 37.6173, 106.83663",longitude
Stat_Lon,"115.86134, -74.006015, 18.424105",longitude
Bldg_No,"215, 3380, 92, 1755, 4100",address
St_Num,"620, 4891, 115, 80, 5321",address
Addr_Num,"1404, 720, 2988, 65, 3112",address
